dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec,max_dv_count,Food_Insecurity_Index,DV_common_perception_score,DV_Common_Perception_norm,VAW_Perception_Score,VAW_Perception_norm,DV_Exposure,DV_Type_Count,Unsafe_Score,WellBeing_Score
0,50 – 59 years,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Urban,0,Never,Some coping mechanisms (1-4),NA,0,DK/Refusal,Very uncommon,Not at all,Daily,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,0,0,0,0,0,0,0,0.875
0,40 – 49 years,Single,Completed primary,0,Fulltime caretaker,0,NA,Urban,0,Never,Some coping mechanisms (1-4),NA,NA,Feels safe,Very common,A little bit,Once or twice a month,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,3,1,1,0.3333333333333333,0,0,0.6666666666666666,0.7361111111111112
0,18 – 29 years,Living with Partner,Completed secondary,0,Fulltime caretaker,1,NA,Rural,0,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,Never,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,0,0,1,0.3333333333333333,0,0,0.1111111111111111,0.7916666666666667
0,18 – 29 years,Single,Completed secondary,NA,Employed,0,NA,Urban,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Uncommon,A little bit,Daily,0,0,0,0,0,1,Call/go to police,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,1,0.3333333333333333,0,0,0.3333333333333333,0.888888888888889
0,30 – 39 years,Single,Completed secondary,1,Unemployed,0,NA,Rural,0,Once or twice,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,Somewhat,2-3 times per week,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,1,0.3333333333333333,2,0.6666666666666666,0,0,0.5,0.7916666666666666
0,18 – 29 years,Single,Completed primary,0,Fulltime caretaker,0,NA,Rural,1,Once or twice,Some coping mechanisms (1-4),NA,NA,Feels safe,Common,Not at all,Once or twice a month,0,0,0,0,0,1,Seek support from family,1,Call/go to police,0,0,1,0,0,0,0,0,0,0,0,1,6,0.125,2,0.6666666666666666,0,0,0,0,0.18518518518518517,0.8966049382716049
0,30 – 39 years,Living with Partner,Less than primary,0,Fulltime caretaker,0,NA,Rural,0,Monthly,No coping mechanisms,NA,NA,Feels safe,Very uncommon,Not at all,2-3 times per week,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
0,18 – 29 years,Single,Technical / vocational,0,Student,0,NA,Rural,0,Never,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Somewhat,2-3 times per week,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,2,0.6666666666666666,0,0,0.3333333333333333,0.888888888888889
0,18 – 29 years,Single,Completed secondary,1,Unemployed,0,NA,Urban,0,NA,No coping mechanisms,NA,NA,Feels safe,Very uncommon,Not at all,Daily,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
0,60 years and older,Widowed,Completed primary,1,Fulltime caretaker,0,NA,Urban,0,Never,Several coping mechanisms (5-8),NA,0,DK/Refusal,Very common,A lot,Daily,0,0,0,0,0,1,Don't know,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,3,1,3,1,0,0,0.6666666666666666,0.5277777777777778
0,60 years and older,Widowed,Completed primary,0,Fulltime caretaker,0,NA,Urban,0,Never,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Never,0,0,0,0,0,1,Seek support from a religious leader,1,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
0,30 – 39 years,Living with Partner,College,NA,Employed,0,More,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Common,Not at all,Daily,0,0,0,0,0,0,NA,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.6666666666666666,0,0,0,0,0.2222222222222222,0.8842592592592593
0,30 – 39 years,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Urban,0,NA,Some coping mechanisms (1-4),NA,NA,Feels safe,Very uncommon,Not at all,Once a week,0,0,0,0,0,1,Access to women’s centres,1,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,0,0,0,0,0,0,0,0.9583333333333334
0,18 – 29 years,Living with Partner,College,NA,Employed,0,Same,Urban,1,Daily,No coping mechanisms,0,0,Feels unsafe/Sometimes feels unsafe,Very common,A lot,Daily,0,0,0,0,0,0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,6,0,3,1,3,1,0,0,0.2727272727272727,0.9090909090909091
0,30 – 39 years,Living with Partner,Less than primary,0,Fulltime caretaker,0,NA,Urban,0,Weekly,Some coping mechanisms (1-4),NA,NA,Feels safe,Very common,Not at all,Daily,0,0,0,0,0,0,NA,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,3,1,0,0,0,0,0.5,0.7916666666666666
0,30 – 39 years,Living with Partner,College,0,Fulltime caretaker,0,NA,Urban,0,Once or twice,No coping mechanisms,NA,0,DK/Refusal,Very uncommon,Not at all,Never,0,0,0,0,0,0,NA,1,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
0,60 years and older,Living with Partner,Completed primary,0,Other,0,NA,Urban,0,Never,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,A little bit,Daily,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.3333333333333333,1,0.3333333333333333,0,0,0.3333333333333333,0.8055555555555556
0,18 – 29 years,Living with Partner,Technical / vocational,0,Fulltime caretaker,0,NA,Urban,0,Weekly,No coping mechanisms,NA,NA,Feels safe,Uncommon,Not at all,2-3 times per week,0,0,0,0,0,1,Call/go to police,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,0,0,0,0,0.16666666666666666,0.9444444444444444
0,30 – 39 years,Living with Partner,College,NA,Employed,0,Same,Urban,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Very uncommon,A little bit,Daily,0,0,0,0,0,0,NA,1,"Other, specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,1,0.3333333333333333,0,0,0.16666666666666666,0.9444444444444444
0,50 – 59 years,Living with Partner,Completed primary,1,Fulltime caretaker,1,Same,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,NA,Feels safe,Common,A little bit,Never,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,2,0.6666666666666666,1,0.3333333333333333,0,0,0.5,0.675
0,50 – 59 years,Living with Partner,Completed primary,NA,Employed,0,Same,Urban,0,Never,Some coping mechanisms (1-4),NA,NA,Feels safe,Don't know,Don't know,Daily,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,NA,NA,NA,NA,0,0,NA,0.875
0,18 – 29 years,Single,College,NA,Employed,0,NA,Urban,0,Never,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,A lot,Daily,0,0,0,0,0,1,Seek support from family,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,0,0,3,1,0,0,0.25,0.875
0,60 years and older,Single,Completed primary,1,Other,1,NA,Urban,0,Once or twice,Some coping mechanisms (1-4),0,0,DK/Refusal,Uncommon,A lot,2-3 times per week,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.3333333333333333,3,1,0,0,0.3333333333333333,0.6875000000000001
0,18 – 29 years,Single,Technical / vocational,NA,Employed,0,NA,Urban,0,Weekly,Some coping mechanisms (1-4),0,NA,DK/Refusal,Very uncommon,Not at all,Once or twice a month,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,0,0,0,0,0,0,0,0.8333333333333334
0,30 – 39 years,Single,College,NA,Employed,0,NA,Urban,0,Never,No coping mechanisms,0,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Don't know,Daily,0,0,0,0,0,1,Call/go to police,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,NA,NA,0,0,0,1
0,30 – 39 years,Living with Partner,Less than primary,0,Fulltime caretaker,0,NA,Rural,0,Never,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,A lot,Never,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.3333333333333333,3,1,0,0,0.6666666666666666,0.6527777777777778
0,30 – 39 years,Living with Partner,College,1,Fulltime caretaker,0,Same,Urban,0,Daily,Several coping mechanisms (5-8),NA,NA,Feels safe,Very uncommon,Not at all,Daily,0,0,0,0,0,1,Call/go to police,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,0,0,0,0,0,0,0,0.6666666666666666
0,30 – 39 years,Living with Partner,College,NA,Employed,0,Less,Urban,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Uncommon,Not at all,Daily,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,0,0,0,0,0.16666666666666666,0.9444444444444444
0,30 – 39 years,Living with Partner,College,1,Student,0,Less,Rural,0,Never,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Common,A little bit,2-3 times per week,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.6666666666666666,1,0.3333333333333333,0,0,0.3333333333333333,0.8472222222222222
0,18 – 29 years,Single,Technical / vocational,NA,Employed,0,NA,Urban,0,NA,No coping mechanisms,0,0,Feels unsafe/Sometimes feels unsafe,Very common,Not at all,2-3 times per week,0,0,0,0,0,1,Access to women’s centres,1,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,3,1,0,0,0,0,0.25,0.9166666666666666
0,40 – 49 years,Living with Partner,Technical / vocational,NA,Employed,0,Same,Urban,0,Never,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Daily,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.3333333333333333,0.888888888888889
0,50 – 59 years,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Urban,0,Never,No coping mechanisms,NA,NA,Feels safe,Uncommon,Not at all,Daily,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,0,0,0,0,0.16666666666666666,0.9444444444444444
0,18 – 29 years,Living with Partner,Technical / vocational,NA,Employed,0,Same,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,A little bit,Daily,0,0,0,0,0,0,NA,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,1,0.3333333333333333,1,0.3333333333333333,0,0,0.3333333333333333,0.8472222222222222
0,18 – 29 years,Single,Completed secondary,NA,Employed,0,NA,Urban,0,Never,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,0,0,0,0,0,0,0,0.875
0,60 years and older,Living with Partner,Completed secondary,NA,Employed,1,More,Urban,0,Never,Some coping mechanisms (1-4),NA,NA,Feels safe,Common,Not at all,Daily,0,0,0,0,0,1,Seek support from family,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,2,0.6666666666666666,0,0,0,0,0.3333333333333333,0.6875000000000001
0,40 – 49 years,Single,Post College,NA,Employed,0,NA,Urban,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Very uncommon,Not at all,Daily,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
0,30 – 39 years,Living with Partner,College,NA,Employed,0,Less,Urban,1,Once or twice,Some coping mechanisms (1-4),NA,NA,Feels safe,Common,Somewhat,2-3 times per week,0,0,0,0,0,1,Seek support from family,1,Seek support from family,0,0,0,0,0,0,0,0,0,0,0,1,6,0.125,2,0.6666666666666666,2,0.6666666666666666,0,0,0.14814814814814814,0.9089506172839507
0,40 – 49 years,Living with Partner,Technical / vocational,NA,Employed,0,Less,Urban,0,Once or twice,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Once a week,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,1,0.3333333333333333,0,0,0.2222222222222222,0.9259259259259259
0,18 – 29 years,Single,College,0,Fulltime caretaker,0,NA,Urban,0,Once or twice,No coping mechanisms,0,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Once or twice a month,0,0,0,0,0,1,Call/go to police,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
0,40 – 49 years,Living with Partner,Technical / vocational,NA,Employed,0,Same,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Somewhat,Daily,0,0,0,0,0,1,"Other, specify",1,"Other, specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.3333333333333333,2,0.6666666666666666,0,0,0.3333333333333333,0.8055555555555556
0,30 – 39 years,Living with Partner,Completed secondary,NA,Employed,0,Same,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Once or twice a month,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,1,0.3333333333333333,1,0.3333333333333333,0,0,0.2222222222222222,0.8842592592592593
0,40 – 49 years,Single,Completed primary,NA,Employed,0,NA,Rural,1,Once or twice,Several coping mechanisms (5-8),NA,0,Feels unsafe/Sometimes feels unsafe,Common,Not at all,2-3 times per week,0,0,0,0,0,0,NA,0,NA,0,1,0,1,0,0,1,0,0,0,0,8,6,1,2,0.6666666666666666,0,0,0,0,0.26666666666666666,0.5777777777777778
0,50 – 59 years,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Urban,0,Weekly,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Once or twice a month,0,0,0,0,0,1,Don't know,1,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,2,0.6666666666666666,2,0.6666666666666666,0,0,0.3333333333333333,0.7222222222222222
0,18 – 29 years,Single,Technical / vocational,NA,Employed,0,NA,Urban,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Uncommon,Not at all,2-3 times per week,0,0,0,0,0,1,Access to women’s centres,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,0,0,0,0,0.16666666666666666,0.9444444444444444
0,18 – 29 years,Single,College,0,Student,0,NA,Urban,0,Never,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,2-3 times per week,0,0,0,0,0,1,Seeking support from women’s groups/NGOs/CSOs,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,0,0,1,0.3333333333333333,0,0,0.1111111111111111,0.8796296296296297
0,18 – 29 years,Single,Technical / vocational,NA,Employed,0,NA,Urban,0,Once or twice,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,Once or twice a month,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,1,0.3333333333333333,0,0,0.1111111111111111,0.9629629629629629
0,18 – 29 years,Single,Completed secondary,NA,Employed,0,NA,Urban,0,Never,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Daily,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,1,0.3333333333333333,0,0,0,0,0.08333333333333333,0.9305555555555556
0,18 – 29 years,Living with Partner,Technical / vocational,NA,Employed,0,Less,Urban,0,Monthly,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Daily,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.3333333333333333,1,0.3333333333333333,0,0,0.16666666666666666,0.8194444444444444
0,60 years and older,Living with Partner,College,1,Other,0,Less,Urban,0,Weekly,No coping mechanisms,0,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
0,30 – 39 years,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Rural,0,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Once or twice a month,0,0,0,0,0,1,Seek support from family,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,0,0,0,0,0,0,0,0.9166666666666666
0,30 – 39 years,Living with Partner,College,0,Fulltime caretaker,0,NA,Rural,0,Never,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,Never,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,NA,NA,0,0,0,0,0,0.9583333333333334
0,18 – 29 years,Living with Partner,Completed secondary,NA,Employed,0,Less,Rural,0,Never,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,Not at all,Once or twice a month,0,0,0,0,0,1,Call/go to police,1,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.3333333333333333,0,0,0,0,0.16666666666666666,0.8194444444444444
0,50 – 59 years,Widowed,Technical / vocational,1,Fulltime caretaker,0,NA,Rural,0,Once or twice,Some coping mechanisms (1-4),NA,NA,Feels safe,Very uncommon,Not at all,2-3 times per week,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,0,0,0,0,0,0,0,0.9166666666666666
0,18 – 29 years,Single,College,NA,Employed,0,NA,Urban,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Very uncommon,Not at all,Daily,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
0,18 – 29 years,Living with Partner,College,NA,Employed,0,More,Urban,0,Weekly,No coping mechanisms,NA,NA,Feels safe,Common,Somewhat,Daily,0,0,0,0,0,1,Call helpline,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,2,0.6666666666666666,0,0,0.6666666666666666,0.7777777777777778
0,30 – 39 years,Single,College,0,Other,0,NA,Rural,0,Never,Some coping mechanisms (1-4),NA,NA,Feels safe,Common,Don't know,2-3 times per week,0,0,0,0,0,1,Seek support from family,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,2,0.6666666666666666,NA,NA,0,0,0.6666666666666666,0.6527777777777778
0,18 – 29 years,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Urban,0,Never,No coping mechanisms,NA,0,DK/Refusal,Don't know,Not at all,Once or twice a month,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,0,0,0,0,0,1
0,18 – 29 years,Living with Partner,Completed secondary,NA,Employed,0,Less,Urban,0,Never,Some coping mechanisms (1-4),NA,NA,Feels safe,Very uncommon,Not at all,Daily,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,0,0,0,0,0,0,0,0.9583333333333334
0,40 – 49 years,Living with Partner,Completed secondary,NA,Employed,0,Less,Urban,0,Never,Several coping mechanisms (5-8),NA,NA,Feels safe,Common,Not at all,Daily,0,0,0,0,0,1,Go to health facility,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,2,0.6666666666666666,0,0,0,0,0.3333333333333333,0.638888888888889
0,30 – 39 years,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Urban,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Uncommon,Don't know,Never,0,0,0,0,0,1,Seek support from family,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,NA,NA,0,0,0.3333333333333333,0.888888888888889
0,40 – 49 years,Living with Partner,Completed secondary,NA,Employed,0,Less,Urban,0,Monthly,Some coping mechanisms (1-4),NA,NA,Feels safe,Very common,Somewhat,Daily,0,0,0,0,0,1,Don't know,1,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,3,1,2,0.6666666666666666,0,0,0.8333333333333333,0.5972222222222222
0,60 years and older,Single,College,NA,Employed,0,NA,Urban,0,Never,No coping mechanisms,NA,NA,Feels safe,Uncommon,Don't know,Daily,0,0,0,0,0,1,Seek support from family,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,NA,NA,0,0,0.3333333333333333,0.888888888888889
0,60 years and older,Living with Partner,College,0,Other,0,NA,Rural,0,Once or twice,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Once or twice a month,0,0,0,0,0,1,Access to women’s centres,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
0,60 years and older,Living with Partner,College,0,Other,0,NA,Urban,0,Don't know,No coping mechanisms,NA,NA,Feels safe,Very uncommon,Don't know,Daily,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,NA,NA,0,0,0,1
0,60 years and older,Living with Partner,College,0,Fulltime caretaker,0,NA,Urban,0,Never,No coping mechanisms,NA,NA,Feels safe,Don't know,Not at all,2-3 times per week,0,0,0,0,0,1,"Other, specify",1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,0,0,0,0,0,1
0,40 – 49 years,Living with Partner,Technical / vocational,NA,Employed,1,N/A,Urban,0,Weekly,Several coping mechanisms (5-8),0,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,0,0,0,0,0,0,NA,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,0,0,0,0,0,0,0,0.6375000000000001
0,40 – 49 years,Living with Partner,Technical / vocational,NA,Employed,1,Less,Rural,0,Once or twice,Some coping mechanisms (1-4),NA,NA,Feels safe,Don't know,A little bit,Daily,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,NA,NA,1,0.3333333333333333,0,0,0.3333333333333333,0.7625
0,50 – 59 years,Separated / Divorced,Technical / vocational,NA,Employed,0,NA,Rural,0,Never,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Daily,0,0,0,0,0,0,NA,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.3333333333333333,0.888888888888889
0,30 – 39 years,Living with Partner,College,NA,Employed,1,Less,Rural,0,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Daily,0,0,0,0,0,0,NA,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.6666666666666666,2,0.6666666666666666,0,0,0.4444444444444444,0.7291666666666667
0,40 – 49 years,Living with Partner,Completed primary,0,Fulltime caretaker,1,NA,Rural,0,Daily,Several coping mechanisms (5-8),NA,NA,Feels safe,Common,Not at all,Once or twice a month,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,2,0.6666666666666666,0,0,0,0,0.3333333333333333,0.5
0,18 – 29 years,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Somewhat,Once or twice a month,0,0,0,0,0,0,NA,1,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.3333333333333333,2,0.6666666666666666,0,0,0.3333333333333333,0.8055555555555556
0,30 – 39 years,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Rural,0,Never,Several coping mechanisms (5-8),NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Once or twice a month,0,0,0,0,0,1,Call/go to police,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,0,0,0,0,0,0,0,0.7083333333333334
