dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec,max_dv_count,Food_Insecurity_Index,DV_common_perception_score,DV_Common_Perception_norm,VAW_Perception_Score,VAW_Perception_norm,DV_Exposure,DV_Type_Count,Unsafe_Score,WellBeing_Score
1,30 – 39 years,Single,Technical / vocational,NA,Employed,0,NA,Urban,0,NA,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Once a week,1,1,1,0,0,0,NA,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.3333333333333333,1,0.3333333333333333,1,4,0.2222222222222222,0.6203703703703703
1,30 – 39 years,Living with Partner,College,NA,Employed,1,More,Urban,0,Monthly,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Daily,1,1,1,0,0,1,Seeking support from women’s groups/NGOs/CSOs,1,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,2,0.6666666666666666,1,0.3333333333333333,1,4,0.3333333333333333,0.4875000000000001
1,18 – 29 years,Living with Partner,Completed secondary,NA,Employed,0,Same,Urban,1,Weekly,Several coping mechanisms (5-8),0,0,Feels unsafe/Sometimes feels unsafe,Common,A lot,Daily,1,1,1,0,0,1,Seek support from family,0,NA,1,0,1,0,0,0,1,0,1,1,0,8,6,1,2,0.6666666666666666,3,1,1,4,0.42424242424242425,0.30303030303030304
1,40 – 49 years,Living with Partner,Completed secondary,NA,Employed,0,Same,Urban,0,Weekly,Several coping mechanisms (5-8),0,0,Feels unsafe/Sometimes feels unsafe,Very common,Somewhat,2-3 times per week,1,1,1,0,0,1,Call/go to police,1,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,3,1,2,0.6666666666666666,1,4,0.41666666666666663,0.3888888888888889
1,18 – 29 years,Single,Technical / vocational,NA,Employed,1,NA,Urban,0,Never,No coping mechanisms,0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Daily,1,1,1,0,0,1,Seeking support from women’s groups/NGOs/CSOs,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,0,0,1,4,0.08333333333333333,0.675
1,30 – 39 years,Living with Partner,Completed primary,1,Fulltime caretaker,0,Less,Rural,0,Monthly,Several coping mechanisms (5-8),0,0,DK/Refusal,Common,Somewhat,Once a week,1,1,1,0,0,1,Talk with friends for support or guidance,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,2,0.6666666666666666,2,0.6666666666666666,1,4,0.3333333333333333,0.37500000000000006
1,18 – 29 years,Single,College,NA,Employed,0,NA,Urban,0,Daily,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Common,Not at all,2-3 times per week,1,1,1,0,0,1,Seek help from shelter or safehouse for women,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,2,0.6666666666666666,0,0,1,4,0.16666666666666666,0.5555555555555556
1,50 – 59 years,Single,Completed primary,1,Fulltime caretaker,0,NA,Urban,1,Monthly,Several coping mechanisms (5-8),0,0,DK/Refusal,Very common,A lot,2-3 times per week,1,1,1,0,0,1,Call/go to police,1,Seek help from shelter or safehouse for women,0,0,0,0,0,0,0,0,0,0,1,7,6,0.875,3,1,3,1,1,4,0.2727272727272727,0.3952020202020202
1,18 – 29 years,Single,Completed secondary,0,Student,0,NA,Urban,1,Once or twice,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,2-3 times per week,1,1,1,0,0,0,NA,0,NA,0,0,0,1,0,0,0,0,0,0,0,4,6,0.5,1,0.3333333333333333,1,0.3333333333333333,1,4,0.15151515151515152,0.5606060606060607
1,18 – 29 years,Single,College,NA,Employed,0,NA,Urban,1,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Common,A lot,2-3 times per week,1,1,1,0,0,1,Talk with friends for support or guidance,0,NA,0,0,0,0,0,0,0,0,0,0,0,3,6,0.375,2,0.6666666666666666,3,1,1,4,0.16666666666666666,0.5972222222222222
1,18 – 29 years,Single,Completed secondary,0,Student,0,NA,Urban,0,Never,Several coping mechanisms (5-8),NA,NA,Feels safe,Common,A little bit,Daily,1,1,1,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,2,0.6666666666666666,1,0.3333333333333333,1,4,0.5,0.3611111111111111
1,30 – 39 years,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,0,DK/Refusal,Very common,Not at all,Don't know,1,0,1,0,0,1,Call/go to police,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,3,1,0,0,1,3,0.3333333333333333,0.6805555555555556
1,40 – 49 years,Living with Partner,Completed secondary,NA,Employed,1,Less,Urban,1,Never,Several coping mechanisms (5-8),NA,NA,Feels safe,Common,A lot,Daily,1,1,1,0,0,1,Talk with friends for support or guidance,0,NA,1,1,0,0,0,0,0,0,0,0,0,7,6,0.875,2,0.6666666666666666,3,1,1,4,0.18518518518518517,0.3819444444444445
1,18 – 29 years,Single,College,1,Unemployed,0,NA,Urban,1,Once or twice,Several coping mechanisms (5-8),NA,0,Feels unsafe/Sometimes feels unsafe,Common,A lot,2-3 times per week,1,1,1,0,0,1,Approach community leaders for support,1,Approach community leaders for support,1,1,0,0,1,1,0,0,1,0,0,5,6,0.625,2,0.6666666666666666,3,1,1,4,0.36666666666666664,0.44722222222222224
1,30 – 39 years,Widowed,Completed primary,NA,Employed,0,NA,Urban,0,Once or twice,Several coping mechanisms (5-8),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Daily,1,1,1,0,0,0,NA,1,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,1,0.3333333333333333,1,0.3333333333333333,1,4,0.2222222222222222,0.41203703703703703
1,18 – 29 years,Single,Completed secondary,NA,Employed,0,NA,Urban,0,Once or twice,Several coping mechanisms (5-8),NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,1,1,1,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,0,0,0,0,1,4,0,0.4861111111111111
1,40 – 49 years,Living with Partner,Less than primary,1,Unemployed,0,Less,Rural,0,NA,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Somewhat,Never,1,0,1,0,0,0,NA,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.3333333333333333,2,0.6666666666666666,1,3,0.25,0.5833333333333334
1,30 – 39 years,Living with Partner,Completed secondary,NA,Employed,0,Same,Urban,0,Weekly,Several coping mechanisms (5-8),0,0,Feels unsafe/Sometimes feels unsafe,Very common,Not at all,Once a week,1,0,1,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,3,1,0,0,1,3,0.25,0.5416666666666666
1,18 – 29 years,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Urban,0,Monthly,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Never,1,1,1,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,1,0.3333333333333333,1,4,0.3333333333333333,0.6666666666666667
1,40 – 49 years,Living with Partner,Post College,0,Fulltime caretaker,0,NA,Urban,0,Monthly,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Common,A lot,Never,1,1,1,0,0,1,Seek support from family,1,Call helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,3,1,1,4,0.5555555555555556,0.5925925925925926
1,30 – 39 years,Living with Partner,College,NA,Employed,0,Less,Urban,0,Monthly,Some coping mechanisms (1-4),NA,NA,Feels safe,Common,A lot,Daily,1,1,1,0,0,1,Call/go to police,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.6666666666666666,3,1,1,4,0.8333333333333333,0.45833333333333337
1,40 – 49 years,Living with Partner,College,NA,Employed,0,Same,Rural,0,Never,No coping mechanisms,NA,NA,Feels safe,Common,A little bit,Daily,1,1,1,0,0,1,Call helpline,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,1,0.3333333333333333,1,4,0.5,0.6111111111111112
1,18 – 29 years,Living with Partner,Completed secondary,1,Fulltime caretaker,1,Same,Urban,1,Monthly,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Once or twice a month,1,1,1,0,0,1,Access to women’s centres,1,Access to women’s centres,0,1,1,0,0,1,1,0,1,0,1,4,6,0.5,2,0.6666666666666666,2,0.6666666666666666,1,4,0.6333333333333333,0.36000000000000004
1,30 – 39 years,Living with Partner,College,NA,Employed,0,NA,Urban,1,Monthly,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Daily,1,1,1,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,4,6,0.5,1,0.3333333333333333,1,0.3333333333333333,1,4,0.0606060606060606,0.5909090909090909
1,18 – 29 years,Single,Completed secondary,0,Student,0,NA,Rural,0,Daily,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Once or twice a month,1,1,1,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,2,0.6666666666666666,1,4,0.4444444444444444,0.6296296296296297
1,40 – 49 years,Living with Partner,Completed primary,NA,Employed,0,NA,Urban,0,Never,No coping mechanisms,NA,NA,Feels safe,Common,Somewhat,Daily,1,1,1,0,0,1,Call helpline,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,2,0.6666666666666666,1,4,0.6666666666666666,0.5555555555555556
