dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec
Yes,60 years and older,Living with Partner,Completed secondary,No,Other,"Yes, I have difficulties",NA,Rural,No,Never,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Uncommon,Not at all,Once or twice a month,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Yes,40 – 49 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Monthly,Several coping mechanisms (5-8),Very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very common,A little bit,2-3 times per week,No,No,Yes,Yes,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Yes,18 – 29 years,Single,Technical / vocational,No,Student,"No, I don’t have difficulties",NA,Urban,Yes,Once or twice,Several coping mechanisms (5-8),Not safe at all,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very common,Not at all,Once a week,No,Yes,Yes,Yes,No,Yes,Seek support from family,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Don't know,7
Yes,18 – 29 years,Single,Less than primary,NA,Employed,"No, I don’t have difficulties",NA,Rural,No,Monthly,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,Not at all,Never,No,Yes,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Yes,30 – 39 years,Living with Partner,College,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Common,Not at all,Never,No,Yes,Yes,Yes,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,40 – 49 years,Living with Partner,Completed secondary,No,Other,"No, I don’t have difficulties",NA,Rural,Yes,Weekly,Several coping mechanisms (5-8),Don't know,Not safe at all,DK/Refusal,Common,A little bit,Never,No,Yes,Yes,Yes,No,Yes,"Other, specify",Yes,Access to women’s centres,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,7
Yes,18 – 29 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,Yes,Monthly,Several coping mechanisms (5-8),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Never,No,Yes,Yes,Yes,No,Yes,Seek support from family,Yes,Talk with friends for support or guidance,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,7
Yes,40 – 49 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Once or twice,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Very common,A little bit,Daily,No,Yes,Yes,Yes,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Yes,18 – 29 years,Single,Technical / vocational,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Daily,No,Yes,Yes,Yes,No,Yes,Seek support from a religious leader,Yes,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Yes,40 – 49 years,Separated / Divorced,Completed primary,Yes,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Uncommon,A little bit,Daily,No,Don't know,Yes,Yes,No,Yes,Access to women’s centres,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,18 – 29 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Uncommon,Not at all,Once or twice a month,No,No,Yes,Yes,No,Yes,"Other, specify",Yes,"Other, specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Yes,30 – 39 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Once or twice,Some coping mechanisms (1-4),Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very common,Somewhat,Never,No,No,Yes,Yes,No,Yes,Access to women’s centres,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Yes,40 – 49 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Monthly,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Not at all,2-3 times per week,No,No,Yes,Yes,No,Yes,Seek support from family,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,50 – 59 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Common,Not at all,2-3 times per week,No,No,Yes,Yes,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Yes,40 – 49 years,Living with Partner,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Weekly,Several coping mechanisms (5-8),Safe,Very safe,Feels safe,Very uncommon,Not at all,Never,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Yes,50 – 59 years,Living with Partner,College,NA,Employed,"Yes, I have difficulties",Same,Urban,Yes,Once or twice,Several coping mechanisms (5-8),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very common,Somewhat,Daily,No,No,Yes,Yes,No,Yes,Seek help from shelter or safehouse for women,Yes,Seek support from family,No,No,No,No,No,No,No,No,No,No,No,7
Yes,50 – 59 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,Yes,Weekly,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Once or twice a month,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,Yes,No,Yes,No,No,No,No,Yes,No,No,No,7
Yes,30 – 39 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,Yes,Weekly,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Once or twice a month,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,No,No,Yes,No,No,No,No,No,No,No,No,4
Yes,30 – 39 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Never,Several coping mechanisms (5-8),Very safe,Very safe,Feels safe,Uncommon,Not at all,Never,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Yes,30 – 39 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,Yes,Daily,Several coping mechanisms (5-8),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Common,Not at all,Once or twice a month,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Talk with friends for support or guidance,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,7
Yes,30 – 39 years,Living with Partner,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,Several coping mechanisms (5-8),Very safe,Don't know,DK/Refusal,Very common,Not at all,Once or twice a month,No,No,Yes,Yes,No,Yes,"Other, specify",Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Yes,50 – 59 years,Living with Partner,College,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Monthly,Some coping mechanisms (1-4),Safe,Very safe,Feels safe,Very common,Not at all,Once or twice a month,No,No,Yes,Yes,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,30 – 39 years,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",Same,Urban,Yes,Weekly,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Not at all,Daily,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,No,No,Yes,No,No,No,No,Yes,No,No,No,5
Yes,50 – 59 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Same,Urban,Yes,Once or twice,Some coping mechanisms (1-4),Not very safe,Safe,Feels unsafe/Sometimes feels unsafe,Very common,Somewhat,Daily,No,No,Yes,Yes,No,Yes,Seeking support from women’s groups/NGOs/CSOs,No,NA,No,No,No,No,No,No,Yes,No,No,No,No,1
Yes,18 – 29 years,Single,College,No,Student,"No, I don’t have difficulties",NA,Rural,No,Monthly,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Common,Somewhat,Once a week,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,40 – 49 years,Living with Partner,Completed primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Monthly,Some coping mechanisms (1-4),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Common,Not at all,2-3 times per week,No,No,Yes,Yes,No,Yes,Access to women’s centres,Yes,"Other, specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,30 – 39 years,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Monthly,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Not at all,Daily,No,No,Yes,Yes,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,18 – 29 years,Single,Completed secondary,Yes,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,Yes,Once or twice,No coping mechanisms,Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,2-3 times per week,No,No,Yes,Yes,No,Yes,Call/go to police,Yes,Call/go to police,No,No,No,No,No,No,No,No,No,No,No,0
Yes,30 – 39 years,Living with Partner,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Weekly,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Uncommon,Not at all,Daily,No,No,Yes,Yes,No,Yes,Seek help from shelter or safehouse for women,Yes,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Yes,40 – 49 years,Living with Partner,College,Yes,Fulltime caretaker,"No, I don’t have difficulties",Same,Urban,No,Once or twice,Some coping mechanisms (1-4),Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Daily,No,No,Yes,Yes,No,No,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,18 – 29 years,Single,College,No,Student,"No, I don’t have difficulties",NA,Rural,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Once or twice a month,No,No,Yes,Yes,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,40 – 49 years,Living with Partner,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Weekly,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Very common,A little bit,Daily,No,No,Yes,Yes,No,Yes,Don't know,Yes,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,30 – 39 years,Living with Partner,College,Yes,Fulltime caretaker,"No, I don’t have difficulties",Same,Urban,No,Never,Some coping mechanisms (1-4),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Don't know,A little bit,Daily,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Yes,40 – 49 years,Living with Partner,Completed primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Monthly,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Uncommon,Not at all,Once a week,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,50 – 59 years,Separated / Divorced,Completed secondary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Daily,Several coping mechanisms (5-8),Don't know,Not very safe,DK/Refusal,Common,A lot,Never,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,"Other, specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Yes,50 – 59 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Same,Urban,No,Once or twice,Some coping mechanisms (1-4),Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very common,A little bit,Never,No,No,Yes,Yes,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,18 – 29 years,Living with Partner,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,Several coping mechanisms (5-8),Very safe,Safe,Feels safe,Very uncommon,Not at all,Once or twice a month,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Yes,18 – 29 years,Living with Partner,Technical / vocational,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Once or twice,Some coping mechanisms (1-4),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very common,A lot,Never,No,No,Yes,Yes,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Yes,30 – 39 years,Living with Partner,Technical / vocational,No,Fulltime caretaker,"Yes, I have difficulties",NA,Rural,No,Once or twice,Several coping mechanisms (5-8),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Once or twice a month,No,No,Yes,Yes,No,Yes,Talk with friends for support or guidance,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Yes,30 – 39 years,Living with Partner,College,No,Fulltime caretaker,"Yes, I have difficulties",NA,Rural,No,Once or twice,Several coping mechanisms (5-8),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Once or twice a month,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Yes,60 years and older,Single,Completed primary,NA,Employed,"Yes, I have difficulties",NA,Urban,Yes,Never,Several coping mechanisms (5-8),Safe,Don't know,DK/Refusal,Common,Somewhat,2-3 times per week,No,No,Yes,Yes,No,Yes,Call/go to police,Yes,Seeking support from women’s groups/NGOs/CSOs,No,Yes,Yes,No,No,No,No,No,Yes,No,No,7
Yes,40 – 49 years,Living with Partner,Technical / vocational,Yes,Fulltime caretaker,"No, I don’t have difficulties",N/A,Urban,No,Never,Some coping mechanisms (1-4),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Once a week,No,No,Yes,Yes,No,Yes,Call/go to police,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,50 – 59 years,Living with Partner,Technical / vocational,Yes,Unemployed,"No, I don’t have difficulties",Less,Rural,No,Weekly,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Very uncommon,Not at all,2-3 times per week,No,No,Yes,Yes,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Yes,40 – 49 years,Single,Completed primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Rural,Yes,Monthly,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very common,A lot,Once or twice a month,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4
Yes,30 – 39 years,Living with Partner,Completed primary,NA,Employed,"No, I don’t have difficulties",Same,Rural,Yes,NA,Several coping mechanisms (5-8),Not safe at all,Safe,Feels unsafe/Sometimes feels unsafe,Very common,Somewhat,2-3 times per week,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,No,Yes,No,No,No,No,Yes,No,No,NA,NA,6
Yes,40 – 49 years,Separated / Divorced,Completed secondary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Rural,No,NA,Several coping mechanisms (5-8),Very safe,Safe,Feels safe,Common,Not at all,Once or twice a month,No,No,Yes,Yes,No,Yes,"Other, specify",Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Yes,40 – 49 years,Living with Partner,College,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Weekly,Several coping mechanisms (5-8),Very safe,Very safe,Feels safe,Uncommon,Not at all,2-3 times per week,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Yes,18 – 29 years,Living with Partner,College,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Weekly,No coping mechanisms,Very safe,Safe,Feels safe,Uncommon,Not at all,2-3 times per week,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,"Other, specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,40 – 49 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Monthly,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Very uncommon,Somewhat,2-3 times per week,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,18 – 29 years,Single,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,Yes,Daily,Several coping mechanisms (5-8),Not very safe,Safe,Feels unsafe/Sometimes feels unsafe,Very common,Not at all,Once a week,No,No,Yes,Yes,No,Yes,Seek help from shelter or safehouse for women,Yes,Seek help from shelter or safehouse for women,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,6
Yes,30 – 39 years,Living with Partner,Technical / vocational,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Once or twice,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Uncommon,Not at all,Once or twice a month,No,No,Yes,Yes,No,Yes,Don't know,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Yes,50 – 59 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Monthly,No coping mechanisms,Very safe,Safe,Feels safe,Common,A little bit,Once or twice a month,No,No,Yes,Yes,No,Yes,Access to women’s centres,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,50 – 59 years,Widowed,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,Yes,NA,Some coping mechanisms (1-4),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very common,A lot,Daily,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Call/go to police,No,Yes,No,No,No,No,No,No,No,No,No,4
Yes,50 – 59 years,Living with Partner,Completed primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,Yes,Monthly,Some coping mechanisms (1-4),Not safe at all,Safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,2-3 times per week,No,No,Yes,Yes,No,Yes,Don't know,Yes,Call/go to police,Yes,No,No,Yes,No,No,No,No,No,No,No,2
Yes,50 – 59 years,Widowed,Less than primary,NA,Employed,"Yes, I have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very common,A lot,Daily,No,No,Yes,Yes,No,Don't know,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,30 – 39 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,Yes,Once or twice,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very common,Somewhat,2-3 times per week,No,No,Yes,Yes,No,Yes,Call/go to police,Yes,Call/go to police,Yes,Yes,No,No,Yes,No,No,No,No,No,No,6
Yes,30 – 39 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Never,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Very uncommon,Not at all,Never,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Yes,50 – 59 years,Separated / Divorced,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,NA,No coping mechanisms,Safe,Very safe,Feels safe,Don't know,Not at all,Once or twice a month,No,No,Yes,Yes,No,Don't know,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,50 – 59 years,Separated / Divorced,Less than primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,Yes,Monthly,Several coping mechanisms (5-8),Very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,Once a week,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Call/go to police,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,7
Yes,30 – 39 years,Living with Partner,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Monthly,Several coping mechanisms (5-8),Very safe,Very safe,Feels safe,Very common,Not at all,Daily,No,No,Yes,Yes,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Yes,40 – 49 years,Single,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Very safe,Very safe,Feels safe,Very common,Somewhat,Once or twice a month,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Yes,40 – 49 years,Single,Completed primary,Yes,Other,"No, I don’t have difficulties",NA,Rural,No,NA,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Very common,Somewhat,Daily,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Yes,30 – 39 years,Living with Partner,Completed primary,Yes,Other,"No, I don’t have difficulties",Same,Urban,Yes,Weekly,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very common,A lot,Never,No,No,Yes,Yes,No,Yes,"Other, specify",Yes,"Other, specify",No,No,No,No,No,No,No,No,No,Yes,No,2
Yes,18 – 29 years,Single,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,Yes,NA,Several coping mechanisms (5-8),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Once a week,No,No,Yes,Yes,No,Yes,Call/go to police,Yes,Seek support from family,No,Yes,Yes,No,No,No,No,No,No,NA,NA,8
Yes,40 – 49 years,Living with Partner,College,NA,Employed,"Yes, I have difficulties",More,Urban,No,Weekly,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Not at all,Daily,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Yes,30 – 39 years,Single,Less than primary,NA,Employed,"No, I don’t have difficulties",NA,Urban,Yes,Once or twice,Several coping mechanisms (5-8),Very safe,Very safe,Feels safe,Uncommon,A lot,Daily,No,No,Yes,Yes,No,Yes,Talk with friends for support or guidance,Yes,Seek support from family,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,8
Yes,40 – 49 years,Separated / Divorced,Less than primary,NA,Employed,"No, I don’t have difficulties",NA,Rural,Yes,NA,Several coping mechanisms (5-8),Safe,Very safe,Feels safe,Very common,Somewhat,2-3 times per week,No,No,Yes,Yes,No,Yes,Call/go to police,Yes,Seek support from family,Yes,No,Yes,Yes,No,Yes,Yes,No,No,NA,NA,8
Yes,18 – 29 years,Single,College,No,Student,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Common,Somewhat,Daily,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,30 – 39 years,Living with Partner,College,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,Several coping mechanisms (5-8),Very safe,Safe,Feels safe,Uncommon,Not at all,Once a week,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Yes,30 – 39 years,Living with Partner,Technical / vocational,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Not safe at all,Not safe at all,Feels unsafe/Sometimes feels unsafe,Uncommon,Somewhat,Never,No,No,Yes,Yes,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,40 – 49 years,Single,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,Not at all,Daily,No,No,Yes,Yes,No,Yes,Access to women’s centres,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,18 – 29 years,Single,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,Yes,Never,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Once or twice a month,No,No,Yes,Yes,No,Yes,Access to women’s centres,Yes,Call/go to police,No,Yes,No,No,No,No,No,No,No,No,No,4
Yes,30 – 39 years,Living with Partner,College,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Daily,Some coping mechanisms (1-4),Very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Don't know,Once a week,No,No,Yes,Yes,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Yes,40 – 49 years,Living with Partner,Completed primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Monthly,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,2-3 times per week,No,No,Yes,Yes,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
