dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec
Others,60 years and older,Single,College,No,Other,"No, I don’t have difficulties",NA,Urban,Yes,Never,No coping mechanisms,Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,A lot,Never,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Approach community leaders for support,No,No,No,No,No,No,No,No,No,No,Yes,0
Others,60 years and older,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Never,Some coping mechanisms (1-4),Very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Once or twice a month,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Call/go to police,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Others,30 – 39 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Same,Urban,No,Never,No coping mechanisms,Not safe at all,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very common,Don't know,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,18 – 29 years,Living with Partner,Completed secondary,Yes,Fulltime caretaker,"No, I don’t have difficulties",Less,Urban,No,Never,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Don't know,Not at all,Once a week,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Others,60 years and older,Widowed,College,No,Other,"Yes, I have difficulties",NA,Rural,No,NA,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Uncommon,Somewhat,Once or twice a month,Don't know,Don't know,Don't know,Don't know,Don't know,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Others,18 – 29 years,Living with Partner,College,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Never,Several coping mechanisms (5-8),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Never,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Approach community leaders for support,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Others,30 – 39 years,Single,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Don't know,DK/Refusal,Don't know,Don't know,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,60 years and older,Single,Completed primary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Common,Don't know,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,60 years and older,Single,Completed primary,Yes,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Don't know,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek help from shelter or safehouse for women,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Others,60 years and older,Living with Partner,Completed primary,Yes,Fulltime caretaker,"No, I don’t have difficulties",Less,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Once or twice a month,Don't know,Don't know,Don't know,Don't know,Don't know,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
