"dv_any_lifetime","age_group","marital_status","education_level","earns_income","employment_status","disability_status","spouse_income_relation","locality_type","feels_unsafe_home","conflict_frequency","food_insecurity_score","feels_unsafe_day","feels_unsafe_night","combined_safety_index","dv_common_perception","vaw_problem_perception","mobility_frequency","will_seek_help_dv","help_source_dv","will_seek_help_harass","help_source_harass","unsafe_reason_1","unsafe_reason_2","unsafe_reason_3","unsafe_reason_4","unsafe_reason_5","unsafe_reason_6","unsafe_reason_7","unsafe_reason_8","unsafe_reason_9","unsafe_reason_10","unsafe_reason_11","food_insec","max_dv_count","Food_Insecurity_Index","DV_common_perception_score","DV_Common_Perception_norm","VAW_Perception_Score","VAW_Perception_norm","DV_Exposure","DV_Type_Count","Unsafe_Score","WellBeing_Score","DV_Type"
1,"50 – 59 years","Widowed","Completed primary",NA,"Employed",0,NA,"Urban",1,"Once or twice","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Daily",1,"Seek support from a religious leader",1,"Call/go to police",0,0,0,0,0,0,0,0,0,NA,0,7,6,0.875,2,0.666666666666667,3,1,1,6,0.212121212121212,0.304292929292929,"Denial_of_Needs"
1,"50 – 59 years","Widowed","Completed primary",NA,"Employed",0,NA,"Urban",1,"Once or twice","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Daily",1,"Seek support from a religious leader",1,"Call/go to police",0,0,0,0,0,0,0,0,0,NA,0,7,6,0.875,2,0.666666666666667,3,1,1,6,0.212121212121212,0.304292929292929,"Denial_of_Communication"
1,"50 – 59 years","Widowed","Completed primary",NA,"Employed",0,NA,"Urban",1,"Once or twice","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Daily",1,"Seek support from a religious leader",1,"Call/go to police",0,0,0,0,0,0,0,0,0,NA,0,7,6,0.875,2,0.666666666666667,3,1,1,6,0.212121212121212,0.304292929292929,"Sexual_Harassment"
1,"30 – 39 years","Separated / Divorced","Completed primary",NA,"Employed",0,NA,"Urban",1,"Daily","Several coping mechanisms (5-8)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Daily",0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,1,6,6,0.75,3,1,3,1,1,4,0.515151515151515,0.356060606060606,"Verbal"
1,"30 – 39 years","Separated / Divorced","Completed primary",NA,"Employed",0,NA,"Urban",1,"Daily","Several coping mechanisms (5-8)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Daily",0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,1,6,6,0.75,3,1,3,1,1,4,0.515151515151515,0.356060606060606,"Denial_of_Communication"
1,"30 – 39 years","Separated / Divorced","Completed primary",NA,"Employed",0,NA,"Urban",1,"Daily","Several coping mechanisms (5-8)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Daily",0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,1,6,6,0.75,3,1,3,1,1,4,0.515151515151515,0.356060606060606,"Sexual_Harassment"
1,"18 – 29 years","Single","College",0,"Student",0,NA,"Rural",0,NA,"Several coping mechanisms (5-8)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Never",1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,2,0.666666666666667,3,1,1,6,0.666666666666667,0.111111111111111,"Physical"
1,"18 – 29 years","Single","College",0,"Student",0,NA,"Rural",0,NA,"Several coping mechanisms (5-8)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Never",1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,2,0.666666666666667,3,1,1,6,0.666666666666667,0.111111111111111,"Verbal"
1,"18 – 29 years","Single","College",0,"Student",0,NA,"Rural",0,NA,"Several coping mechanisms (5-8)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Never",1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,2,0.666666666666667,3,1,1,6,0.666666666666667,0.111111111111111,"Denial_of_Needs"
1,"18 – 29 years","Single","College",0,"Student",0,NA,"Rural",0,NA,"Several coping mechanisms (5-8)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Never",1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,2,0.666666666666667,3,1,1,6,0.666666666666667,0.111111111111111,"Denial_of_Communication"
1,"18 – 29 years","Single","College",0,"Student",0,NA,"Rural",0,NA,"Several coping mechanisms (5-8)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Never",1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,2,0.666666666666667,3,1,1,6,0.666666666666667,0.111111111111111,"Sexual_Harassment"
1,"18 – 29 years","Single","College",0,"Unemployed",0,NA,"Rural",0,"Monthly","Several coping mechanisms (5-8)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","2-3 times per week",1,"Seeking support from women’s groups/NGOs/CSOs",1,"Seeking support from women’s groups/NGOs/CSOs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,3,1,3,1,1,6,0.916666666666667,0.0277777777777778,"Physical"
1,"18 – 29 years","Single","College",0,"Unemployed",0,NA,"Rural",0,"Monthly","Several coping mechanisms (5-8)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","2-3 times per week",1,"Seeking support from women’s groups/NGOs/CSOs",1,"Seeking support from women’s groups/NGOs/CSOs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,3,1,3,1,1,6,0.916666666666667,0.0277777777777778,"Verbal"
1,"18 – 29 years","Single","College",0,"Unemployed",0,NA,"Rural",0,"Monthly","Several coping mechanisms (5-8)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","2-3 times per week",1,"Seeking support from women’s groups/NGOs/CSOs",1,"Seeking support from women’s groups/NGOs/CSOs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,3,1,3,1,1,6,0.916666666666667,0.0277777777777778,"Denial_of_Needs"
1,"18 – 29 years","Single","College",0,"Unemployed",0,NA,"Rural",0,"Monthly","Several coping mechanisms (5-8)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","2-3 times per week",1,"Seeking support from women’s groups/NGOs/CSOs",1,"Seeking support from women’s groups/NGOs/CSOs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,3,1,3,1,1,6,0.916666666666667,0.0277777777777778,"Denial_of_Communication"
