"dv_any_lifetime","age_group","marital_status","education_level","earns_income","employment_status","disability_status","spouse_income_relation","locality_type","feels_unsafe_home","conflict_frequency","food_insecurity_score","feels_unsafe_day","feels_unsafe_night","combined_safety_index","dv_common_perception","vaw_problem_perception","mobility_frequency","dv_physical","dv_verbal","dv_economic","dv_other","dv_sexual","will_seek_help_dv","help_source_dv","will_seek_help_harass","help_source_harass","unsafe_reason_1","unsafe_reason_2","unsafe_reason_3","unsafe_reason_4","unsafe_reason_5","unsafe_reason_6","unsafe_reason_7","unsafe_reason_8","unsafe_reason_9","unsafe_reason_10","unsafe_reason_11","food_insec","max_dv_count","Food_Insecurity_Index","DV_common_perception_score","DV_Common_Perception_norm","VAW_Perception_Score","VAW_Perception_norm","DV_Exposure","DV_Type_Count","Unsafe_Score","WellBeing_Score","help_type_dv","mobility_num"
0,"60 years and older","Living with Partner","Completed secondary",0,"Other",0,NA,"Rural",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","Not at all","Never",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,1,0.333333333333333,0,0,0,0,0.333333333333333,0.597222222222222,"Informal",0
0,"30 – 39 years","Living with Partner","College",0,"Fulltime caretaker",0,NA,"Rural",0,"Never","No coping mechanisms",0,0.333333333333333,"Feels safe","Very uncommon","Somewhat","2-3 times per week",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,2,0.666666666666667,0,0,0.25,0.916666666666667,"Other/NA",3
0,"60 years and older","Living with Partner","Completed secondary",0,"Other",0,NA,"Rural",1,"Once or twice","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","Not at all","Once or twice a month",0,0,0,0,0,1,"Seeking support from women’s groups/NGOs/CSOs",0,NA,1,0,1,0,0,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0.424242424242424,0.858585858585859,"Other/NA",1
0,"40 – 49 years","Living with Partner","Completed secondary",1,"Fulltime caretaker",0,"More","Rural",0,"Monthly","No coping mechanisms",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","Once a week",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.416666666666667,0.861111111111111,"Other/NA",2
0,"30 – 39 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",0,"Never","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Access to women’s centres",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,1,0.333333333333333,0,0,0,0,0.25,0.875,"Other/NA",3
0,"30 – 39 years","Living with Partner","College",NA,"Employed",0,"Less","Rural",0,"Never","No coping mechanisms",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Somewhat","2-3 times per week",0,0,0,0,0,1,"Seek support from family",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,2,0.666666666666667,0,0,0.416666666666667,0.861111111111111,"Informal",3
0,"50 – 59 years","Separated / Divorced","College",0,"Other",0,NA,"Rural",0,"Never","Some coping mechanisms (1-4)",1,1,"Feels unsafe/Sometimes feels unsafe","Uncommon","A lot","Once or twice a month",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.333333333333333,3,1,0,0,0.833333333333333,0.597222222222222,"Informal",1
0,"50 – 59 years","Separated / Divorced","College",NA,"Employed",1,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","A little bit","Daily",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,0,0,1,0.333333333333333,0,0,0.25,0.6,"Other/NA",4
0,"50 – 59 years","Living with Partner","Completed secondary",0,"Fulltime caretaker",0,NA,"Urban",0,NA,"No coping mechanisms",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","Not at all","2-3 times per week",0,0,0,0,0,1,"Seeking support from women’s groups/NGOs/CSOs",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,0,0,0,0,0.333333333333333,0.888888888888889,"Other/NA",3
0,"30 – 39 years","Living with Partner","Completed secondary",0,"Fulltime caretaker",0,NA,"Rural",0,"Never","No coping mechanisms",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Don't know","Not at all","Once or twice a month",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,0,0,0,0,0.444444444444444,0.851851851851852,"Informal",1
0,"50 – 59 years","Widowed","Completed secondary",0,"Other",0,NA,"Rural",0,"Never","Some coping mechanisms (1-4)",0.333333333333333,0,"Feels safe","Don't know","Not at all","Once or twice a month",0,0,0,0,0,0,NA,1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,NA,NA,0,0,0,0,0.111111111111111,0.837962962962963,"Other/NA",1
0,"50 – 59 years","Living with Partner","Technical / vocational",NA,"Employed",0,"Less","Urban",0,"Once or twice","Some coping mechanisms (1-4)",0,0.333333333333333,"Feels safe","Very uncommon","Not at all","Once or twice a month",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,0,0,0,0,0,0,0.0833333333333333,0.888888888888889,"Other/NA",1
0,"50 – 59 years","Living with Partner","Completed primary",0,"Other",1,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Don't know","Somewhat","Never",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,NA,NA,2,0.666666666666667,0,0,0.444444444444444,0.579166666666667,"Informal",0
0,"30 – 39 years","Living with Partner","College",NA,"Employed",0,"Less","Urban",0,"Never","No coping mechanisms",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Common","Not at all","Never",0,0,0,0,0,1,"Seek support from family",1,"Access to women’s centres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,0,0,0,0,0.5,0.833333333333333,"Informal",0
0,"18 – 29 years","Single","Completed secondary",0,"Student",0,NA,"Rural",0,"Once or twice","No coping mechanisms",NA,0.666666666666667,"DK/Refusal","Very uncommon","Don't know","Once or twice a month",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,NA,NA,0,0,0.333333333333333,0.888888888888889,"Other/NA",1
0,"18 – 29 years","Single","College",0,"Student",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0,0.333333333333333,"Feels safe","Don't know","A little bit","Daily",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,1,0.333333333333333,0,0,0.222222222222222,0.925925925925926,"Informal",4
0,"30 – 39 years","Separated / Divorced","Completed secondary",0,"Fulltime caretaker",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0,0,"Feels safe","Common","Not at all","Once or twice a month",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,2,0.666666666666667,0,0,0,0,0.166666666666667,0.652777777777778,"Other/NA",1
0,"40 – 49 years","Widowed","College",NA,"Employed",1,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","Never",0,0,0,0,0,1,"Seek support from family",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,0,0,0,0,0,0,0.333333333333333,0.65,"Informal",0
0,"60 years and older","Widowed","College",0,"Other",1,NA,"Urban",0,"Never","No coping mechanisms",0,0,"Feels safe","Common","Don't know","Never",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,NA,NA,0,0,0.222222222222222,0.833333333333333,"Other/NA",0
0,"18 – 29 years","Single","Completed secondary",NA,"Employed",0,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0,0.333333333333333,"Feels safe","Common","Not at all","Daily",0,0,0,0,0,0,NA,1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.666666666666667,0,0,0,0,0.25,0.875,"Other/NA",4
0,"50 – 59 years","Living with Partner","College",NA,"Employed",0,"Less","Urban",0,"Never","No coping mechanisms",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","Daily",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.416666666666667,0.861111111111111,"Other/NA",4
0,"40 – 49 years","Living with Partner","College",NA,"Employed",0,"Less","Rural",1,"Never","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","A lot","Never",0,0,0,0,0,1,"Seek support from family",0,NA,0,0,0,0,0,0,0,0,0,0,0,1,6,0.125,0,0,3,1,0,0,0.151515151515152,0.907828282828283,"Informal",0
0,"30 – 39 years","Living with Partner","College",1,"Fulltime caretaker",0,"Same","Urban",0,"Never","No coping mechanisms",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Don't know","Not at all","Never",0,0,0,0,0,1,"Call/go to police",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,0,0,0,0,0.333333333333333,0.888888888888889,"Formal",0
0,"18 – 29 years","Living with Partner","College",NA,"Employed",0,"Less","Urban",0,"Weekly","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Common","A little bit","Daily",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,1,0.333333333333333,0,0,0.416666666666667,0.861111111111111,"Other/NA",4
0,"60 years and older","Living with Partner","Completed secondary",0,"Other",0,NA,"Rural",0,"Once or twice","Some coping mechanisms (1-4)",0,NA,"DK/Refusal","Very uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Seek support from family",1,"Access to women’s centres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,0,0,0,0,0,0,0,0.958333333333333,"Informal",3
0,"18 – 29 years","Living with Partner","College",0,"Fulltime caretaker",1,NA,"Urban",0,"Never","No coping mechanisms",0,0,"Feels safe","Uncommon","Not at all","Daily",0,0,0,0,0,1,"Access to women’s centres",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,0,0,0,0,0.0833333333333333,0.875,"Other/NA",4
0,"18 – 29 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",0,"Never","Some coping mechanisms (1-4)",0,0,"Feels safe","Very uncommon","Not at all","Once or twice a month",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,0,0,0,0,0,0,0,0.958333333333333,"Other/NA",1
0,"50 – 59 years","Living with Partner","Technical / vocational",NA,"Employed",1,"Same","Urban",0,"Never","No coping mechanisms",0.666666666666667,0,"Feels unsafe/Sometimes feels unsafe","Don't know","Don't know","Daily",0,0,0,0,0,1,"Seek support from family",1,"Seeking support from women’s groups/NGOs/CSOs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,NA,NA,0,0,0.333333333333333,0.8,"Informal",4
0,"30 – 39 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Urban",0,"Never","Some coping mechanisms (1-4)",NA,0.666666666666667,"DK/Refusal","Very uncommon","Don't know","2-3 times per week",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,0,0,NA,NA,0,0,0.333333333333333,0.722222222222222,"Other/NA",3
0,"50 – 59 years","Living with Partner","College",NA,"Employed",1,"More","Rural",0,"Monthly","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","Not at all","Never",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.166666666666667,0.85,"Other/NA",0
0,"40 – 49 years","Single","College",NA,"Employed",0,NA,"Urban",0,"Never","No coping mechanisms",0,0.333333333333333,"Feels safe","Common","Not at all","2-3 times per week",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,0,0,0,0,0.25,0.916666666666667,"Other/NA",3
0,"40 – 49 years","Living with Partner","Completed primary",NA,"Employed",1,"More","Rural",0,"Never","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Not at all","Once or twice a month",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.333333333333333,0,0,0,0,0.25,0.675,"Informal",1
0,"18 – 29 years","Single","College",0,"Other",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","A little bit","Daily",0,0,0,0,0,0,NA,1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,1,0.333333333333333,0,0,0.416666666666667,0.861111111111111,"Other/NA",4
0,"30 – 39 years","Living with Partner","College",0,"Fulltime caretaker",0,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,NA,"DK/Refusal","Uncommon","Not at all","Once or twice a month",0,0,0,0,0,0,NA,1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,0,0,0,0,0.222222222222222,0.717592592592593,"Other/NA",1
0,"40 – 49 years","Living with Partner","College",0,"Fulltime caretaker",0,NA,"Urban",0,"Monthly","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","A little bit","Once a week",0,0,0,0,0,0,NA,1,"Access to women’s centres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,1,0.333333333333333,0,0,0.25,0.916666666666667,"Other/NA",2
0,"60 years and older","Living with Partner","Completed primary",0,"Other",0,NA,"Urban",0,"Never","No coping mechanisms",0,0.333333333333333,"Feels safe","Uncommon","A little bit","Never",0,0,0,0,0,1,"Call/go to police",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,1,0.333333333333333,0,0,0.25,0.916666666666667,"Formal",0
0,"30 – 39 years","Living with Partner","Completed secondary",NA,"Employed",0,"Less","Rural",0,"Never","No coping mechanisms",0.333333333333333,0,"Feels safe","Uncommon","Not at all","Once or twice a month",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,0,0,0,0,0.166666666666667,0.944444444444444,"Other/NA",1
0,"50 – 59 years","Single","Completed secondary",0,"Fulltime caretaker",1,NA,"Urban",0,"Monthly","Some coping mechanisms (1-4)",0.333333333333333,0,"Feels safe","Very uncommon","Not at all","Once or twice a month",0,0,0,0,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,0,0,0,0,0,0,0.0833333333333333,0.7625,"Informal",1
0,"60 years and older","Living with Partner","Completed secondary",0,"Fulltime caretaker",0,NA,"Rural",0,"Weekly","No coping mechanisms",0.333333333333333,NA,"DK/Refusal","Very uncommon","Not at all","2-3 times per week",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.111111111111111,0.962962962962963,"Other/NA",3
0,"18 – 29 years","Living with Partner","College",0,"Fulltime caretaker",0,NA,"Urban",0,"Monthly","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","Not at all","Never",0,0,0,0,0,1,"Call/go to police",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,1,0.333333333333333,0,0,0,0,0.333333333333333,0.847222222222222,"Formal",0
0,"50 – 59 years","Living with Partner","Completed primary",0,"Other",0,NA,"Rural",0,"Never","No coping mechanisms",0,0,"Feels safe","Don't know","Not at all","Never",0,0,0,0,0,1,"Approach community leaders for support",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,0,0,0,0,0,1,"Informal",0
0,"18 – 29 years","Single","College",1,"Student",0,NA,"Urban",0,"Monthly","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A little bit","2-3 times per week",0,0,0,0,0,1,"Call/go to police",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,2,0.666666666666667,1,0.333333333333333,0,0,0.5,0.708333333333333,"Formal",3
0,"30 – 39 years","Living with Partner","College",NA,"Employed",0,"Same","Urban",0,"Never","Some coping mechanisms (1-4)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Somewhat","2-3 times per week",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,0,0,2,0.666666666666667,0,0,0.583333333333333,0.680555555555556,"Other/NA",3
0,"60 years and older","Living with Partner","Completed primary",0,"Other",0,NA,"Rural",0,"Never","Some coping mechanisms (1-4)",0.333333333333333,NA,"DK/Refusal","Uncommon","Not at all","2-3 times per week",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.333333333333333,0,0,0,0,0.222222222222222,0.842592592592593,"Other/NA",3
0,"30 – 39 years","Living with Partner","College",0,"Fulltime caretaker",0,NA,"Urban",0,NA,"Some coping mechanisms (1-4)",0,0.333333333333333,"Feels safe","Very uncommon","A little bit","Never",0,0,0,0,0,1,"Call/go to police",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,0,0,1,0.333333333333333,0,0,0.166666666666667,0.777777777777778,"Formal",0
0,"30 – 39 years","Living with Partner","Post College",NA,"Employed",0,"Less","Urban",0,NA,"No coping mechanisms",0,0.333333333333333,"Feels safe","Very uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Call/go to police",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.0833333333333333,0.972222222222222,"Formal",3
0,"30 – 39 years","Living with Partner","College",NA,"Employed",0,"Less","Rural",0,"Once or twice","Some coping mechanisms (1-4)",0,0,"Feels safe","Very common","Don't know","Daily",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,3,1,NA,NA,0,0,0.333333333333333,0.805555555555556,"Other/NA",4
0,"50 – 59 years","Single","Completed secondary",NA,"Employed",0,NA,"Urban",1,"Monthly","Some coping mechanisms (1-4)",1,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","Daily",0,0,0,0,0,1,"Seeking support from women’s groups/NGOs/CSOs",1,"Call/go to police",0,0,0,0,0,0,0,0,0,0,0,1,6,0.125,0,0,0,0,0,0,0.151515151515152,0.907828282828283,"Other/NA",4
0,"18 – 29 years","Single","College",NA,"Employed",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0,0.333333333333333,"Feels safe","Common","Somewhat","2-3 times per week",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,2,0.666666666666667,0,0,0.416666666666667,0.861111111111111,"Other/NA",3
0,"30 – 39 years","Living with Partner","Completed secondary",NA,"Employed",0,"Same","Rural",0,"Once or twice","Some coping mechanisms (1-4)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A little bit","Daily",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.666666666666667,1,0.333333333333333,0,0,0.416666666666667,0.819444444444444,"Informal",4
0,"40 – 49 years","Living with Partner","College",NA,"Employed",0,"Less","Rural",0,"Once or twice","Some coping mechanisms (1-4)",0,1,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","Never",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,0,0,0,0,0,0,0.25,0.875,"Other/NA",0
0,"18 – 29 years","Living with Partner","Technical / vocational",NA,"Employed",0,"Less","Rural",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","A little bit","2-3 times per week",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.333333333333333,1,0.333333333333333,0,0,0.416666666666667,0.736111111111111,"Other/NA",3
0,"60 years and older","Living with Partner","Completed primary",NA,"Employed",0,"Less","Urban",0,"Daily","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Common","Somewhat","2-3 times per week",0,0,0,0,0,1,"Approach community leaders for support",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.666666666666667,2,0.666666666666667,0,0,0.5,0.791666666666667,"Informal",3
0,"30 – 39 years","Living with Partner","Completed primary",NA,"Employed",0,"Less","Rural",0,"Once or twice","Some coping mechanisms (1-4)",0,0.333333333333333,"Feels safe","Uncommon","Not at all","Daily",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,1,0.333333333333333,0,0,0,0,0.166666666666667,0.902777777777778,"Other/NA",4
0,"30 – 39 years","Living with Partner","Less than primary",0,"Fulltime caretaker",0,NA,"Rural",0,"Once or twice","Several coping mechanisms (5-8)",0,1,"Feels unsafe/Sometimes feels unsafe","Uncommon","A lot","Never",0,0,0,0,0,1,"Don't know",1,"Don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,1,0.333333333333333,3,1,0,0,0.583333333333333,0.555555555555556,"Other/NA",0
0,"18 – 29 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Somewhat","Daily",0,0,0,0,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,2,0.666666666666667,0,0,0.333333333333333,0.888888888888889,"Informal",4
0,"18 – 29 years","Single","Completed primary",1,"Unemployed",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,0,0,0,0,0,0,0.25,0.708333333333333,"Informal",3
0,"40 – 49 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",0,"Never","Several coping mechanisms (5-8)",1,1,"Feels unsafe/Sometimes feels unsafe","Very common","Somewhat","Once a week",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,3,1,2,0.666666666666667,0,0,0.916666666666667,0.402777777777778,"Informal",2
0,"50 – 59 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Urban",0,"Never","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Call/go to police",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,0,0,0,0,0,0,0.25,0.791666666666667,"Formal",3
0,"50 – 59 years","Widowed","College",NA,"Employed",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,0,0,0,0,0.25,0.916666666666667,"Informal",3
0,"30 – 39 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Urban",1,"Once or twice","Some coping mechanisms (1-4)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","Daily",0,0,0,0,0,1,"Access to women’s centres",1,"Access to women’s centres",1,0,0,0,0,0,1,0,0,0,0,1,6,0.125,0,0,0,0,0,0,0.151515151515152,0.907828282828283,"Other/NA",4
0,"60 years and older","Living with Partner","College",0,"Fulltime caretaker",0,NA,"Urban",0,"Monthly","No coping mechanisms",0,0.333333333333333,"Feels safe","Uncommon","Not at all","Daily",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,0,0,0,0,0.166666666666667,0.944444444444444,"Informal",4
0,"30 – 39 years","Single","College",1,"Fulltime caretaker",0,NA,"Urban",1,"Once or twice","Several coping mechanisms (5-8)",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","Not at all","Never",0,0,0,0,0,0,NA,1,"Seek support from family",0,1,0,1,1,0,0,0,0,0,0,5,6,0.625,2,0.666666666666667,0,0,0,0,0.272727272727273,0.700757575757576,"Other/NA",0
0,"50 – 59 years","Single","Completed secondary",NA,"Employed",0,NA,"Urban",0,"Never","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Daily",0,0,0,0,0,1,"Other, specify",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.666666666666667,2,0.666666666666667,0,0,0.583333333333333,0.763888888888889,"Other/NA",4
0,"18 – 29 years","Living with Partner","College",0,"Other",0,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Somewhat","Never",0,0,0,0,0,1,"Call/go to police",1,"Seeking support from women’s groups/NGOs/CSOs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,0,0,2,0.666666666666667,0,0,0.416666666666667,0.736111111111111,"Formal",0
